FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
2/1/2026;362618;ACDC Doble;1; $ 14.800,00 
;;Beatle Doble 220g ;1; $ 14.200,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly Simple 110g;1; $ 10.500,00 
;;Clasic Doble 220g;6; $ 77.400,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 2.700,00 
;;ENVIO;; $ 11.700,00 
;;HC TRIPLE;1; $ 18.900,00 
;;Mala Fama Doble 220g;2; $ 31.200,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 8.000,00 
;;Nugget's X6 ;; $ 2.800,00 
;;Papas con Cheddar;1; $ 7.600,00 
;;Papas Queen ;; $ 5.600,00 
;;PROMO 2-- 2 x Charly doble ;2; $ 42.200,00 
;;Lata Schweppes Pomelo Zero;1; $ 2.400,00 
;;Porcion Extra de Papas Medianas;; $ 2.000,00 
;362619;2 tostados AMERICANOS;1; $ 8.500,00 
;;2 tostados CLASSIC;1; $ 8.300,00 
;;ACDC Doble;7; $ 103.600,00 
;;ACDC Simple ;2; $ 23.600,00 
;;ACDC Triple;1; $ 18.100,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;4; $ 48.000,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 9.600,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;3; $ 22.800,00 
;;Beatle Doble 220g ;10; $ 142.000,00 
;;Beatle Simple 110g ;1; $ 11.200,00 
;;BIZARRAP Session #1 ;2; $ 18.600,00 
;;BIZZARAP session #2;2; $ 18.600,00 
;;Bob marley Simple;1; $ 10.700,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly  Triple 330g;3; $ 50.400,00 
;;Charly Doble 220g ;4; $ 54.000,00 
;;Charly Simple 110g;2; $ 21.000,00 
;;Clasic Doble 220g;28; $ 361.200,00 
;;Clasic Simple 110g ;11; $ 108.900,00 
;;Clasic Triple 330g;7; $ 113.400,00 
;;COCA 500 ml;7; $ 16.800,00 
;;Coca Cola 1.5 Lts;7; $ 30.100,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;dip de barbacoa;; $ 1.000,00 
;;dip de cheddar;; $ 5.400,00 
;;Eminem;1; $ 15.700,00 
;;ENVIO;; $ 102.700,00 
;;franui Chocolate con leche + chocolate blanco;3; $ 27.000,00 
;;Freestyle;5; $ 96.000,00 
