Categoria,Nombre,Precio,UltimaModificacion
HAMBURGUESAS,CLASSIC,11100,2026-03-20
HAMBURGUESAS,DUKO,13100,2026-03-20
HAMBURGUESAS,CHARLY,11700,2026-03-20
HAMBURGUESAS,MALA FAMA,14200,2026-03-20
HAMBURGUESAS,HC (HERNAN CATTANEO),14200,2026-03-20
HAMBURGUESAS,RESIDENTE,14200,2026-03-20
HAMBURGUESAS,BOB MARLEY,12100,2026-03-20
HAMBURGUESAS,KISS,12900,2026-03-20
HAMBURGUESAS,ROLLING STONES,12300,2026-03-20
HAMBURGUESAS,RED HOT,12800,2026-03-20
HAMBURGUESAS,THE BEATLES,12600,2026-03-20
HAMBURGUESAS,AC/DC,13200,2026-03-20
HAMBURGUESAS,FRIED ONION,12800,2026-03-20
HAMBURGUESAS,TECHNO CHICKEN,10700,2026-03-20
HAMBURGUESAS,GORILLAZ,13800,2026-03-20
HAMBURGUESAS,MADONNA Veggie,12300,2026-03-20
HAMBURGUESAS,PATRICIO REY,13500,2026-03-20
HAMBURGUESAS,ALMA FUERTE pulled pork,13500,2026-03-20
HAMBURGUESAS,BIZARRAP Session #1,10500,2026-03-20
HAMBURGUESAS,BIZARRAP Session #2,10500,2026-03-20
HAMBURGUESAS,Eminem,17600,2026-03-20
MENU INFANTIL,KIDS ROCK,7500,2026-03-20
PARA ACOMPAÑAR,Papas QUEEN,8800,2026-03-20
PARA ACOMPAÑAR,Papas Cheddar,8700,2026-03-20
PARA ACOMPAÑAR,Papas MERCURY,12200,2026-03-20
PARA ACOMPAÑAR,Aros de cebolla + papas,8600,2026-03-20
PARA ACOMPAÑAR,Nuggets de pollo + papas,9000,2026-03-20
PICADAS BEAT,FREESTYLE,21600,2026-03-20
ENSALADAS POP / MENU SALUDABLE,RIHANNA,10500,2026-03-20
ENSALADAS POP / MENU SALUDABLE,LADY GAGA,10500,2026-03-20
POSTRES,Franui,9000,2026-03-20
TOSTADOS,tostado americano + levite,6800,2026-03-20
TOSTADOS,tostado clasico + levite,6800,2026-03-20
TOSTADOS,X2 tostado americano,9500,2026-03-20
TOSTADOS,X2 tostado clasico,9500,2026-03-20
BEBIDAS,villavicencio 500cc,2100,2026-03-20
BEBIDAS,Coca Cola 1.5 lts,5300,2026-03-20
BEBIDAS,Coca Cola Zero 1.5 Lts,5300,2026-03-20
BEBIDAS,SpriTe 1.5 lts,5300,2026-03-20
BEBIDAS,lata Sprite 354cc,2500,2026-03-20
BEBIDAS,lata Coca-Cola zero,2500,2026-03-20
BEBIDAS,lata Coca-Cola 354cc,2500,2026-03-20
BEBIDAS,Levite de naranja 500ml,2100,2026-03-20
BEBIDAS,Levite de manzana 500ml,2100,2026-03-20
BEBIDAS,Levite de pomelo 500ml,2100,2026-03-20
BEBIDAS,Levite de pomelo 1.5lt,2800,2026-03-20
BEBIDAS,Levite de manzana 1.5 lts,2800,2026-03-20
BEBIDAS,Cerveza Heineken Lata 473cc,4500,2026-03-20
BEBIDAS,Andes Rubia Lata 473cc,4000,2026-03-20
BEBIDAS,Andes IPA Lata 473cc,4000,2026-03-20
BEBIDAS,Andes Roja Lata 473cc,4000,2026-03-20
BEBIDAS,Stella artois lata,4500,2026-03-20
BEBIDAS,Lata Schweppes Pomelo Zero,2500,2026-03-20
PIZZAS XL,John Lennon,16000,2026-03-20
PIZZAS XL,Pink Floyd,19000,2026-03-20
PIZZAS XL,Elvis Presley,27000,2026-03-20
PIZZAS XL,Michael Jackson,18000,2026-03-20
PIZZAS XL,Creedence,21000,2026-03-20
PIZZAS XL,Mick Jagger mediana,19000,2026-03-20
PIZZAS XL,Freddie Mercury,21000,2026-03-20
PIZZAS XL,KISS,18000,2026-03-20
PIZZAS XL,Led Zeppelin,21000,2026-03-20
PIZZAS XL,Johnny Rivers,19000,2026-03-20
EMPANADAS,Carne,2500,2026-03-20
EMPANADAS,Pollo,2500,2026-03-20
EMPANADAS,Cebolla y queso,2500,2026-03-20
EMPANADAS,Jamon y queso,2500,2026-03-20
EMPANADAS,Verdura,2500,2026-03-20
EMPANADAS,Caprese,2500,2026-03-20
